haiku,summary
"Cannot wait for more
 birthday celebrations with
my boo this weekend","Excitement for upcoming birthday celebrations with a loved one.
"
"RE freaking TWEET Dave
 the Dad is the freaking best
and deserves the world","A dad gets a retweet and is celebrated.
"
"A lesson in how
 to ruin a beautiful
Bollywood love song","Humorous take on ruining a romantic Bollywood song.
"
"My motivation
 for homework such went down the
drain during spring break","Loss of academic motivation during spring break.
"
"When you having a
 productive day and yo friend
stay calling with the","Annoying interruptions during a productive day.
"
"How does my husband
 look so attractive all the
time Like I'm jealous","Admiration and a touch of envy for a husband's constant attractiveness.
"
"please sell Sanchez You
 guys were scammed into signing
a useless player","The author implores the team to sell Sanchez, calling him a useless and overpaid player.
"
"That I didn't get
 to take pictures in my hot
dress is so tragic","Regret about missing a photo opportunity while dressed up.
"
"I hate coming to
 restaurants during lunch the
drive thru be so packed","Lunchtime restaurant rush.
"
"Watching this show where
 they're cutting wood think I got
sawdust in my eye","Watching a woodcutting show causes eye irritation, possibly from sawdust.
"
"Add dried cranberries
 instead of fucking raisins
No one likes raisins","Cranberries are a superior dried fruit to raisins.
"
"my sister take a
 perfume bath before and i
honestly can't breath","A sister's strong perfume overwhelms the speaker.
"
"Going to create
 a thread of odd thoughts that run
through my mind at night","A mind's nighttime thoughts will be explored.
"
"Corruption is a
 me and you problem not a
he and them issue","Corruption stems from individual actions, not just those in power.
"
"I can barley get
 out off of my road but I
have to go to school","A struggle to get to school despite an obstacle.
"
"Banning Books this is
 new right I feel like I've seen
this somewhere before","History repeats itself in the censorship of books.
"
"Debating whether
 or not to make another
Christmas card this year","Contemplating the effort of making a Christmas card.
"
"I wish women could
 leave abusive men as fast
as they leave broke men","A lament on the difficulty women face leaving abusive relationships compared to leaving financially unstable ones.
"
"Freedom to deport
 foreign criminals Not too
much to ask is it","Deporting foreign criminals is a reasonable request.
"
"disney except you
 fight all the mascots I call
it Primal Disney","A violent Disney-esque battle.
"
"My wisdom teeth are
 coming in and my mouth has
never been so sore","Wisdom teeth cause mouth pain.
"
"Eye Contact During
 Sex Will Get You Pregnant DON'T
LOOK AT HIM SWEETHEART","Avoid eye contact during sex to prevent pregnancy.
"
"My skin has improved
 so much not clear yet but I
am so proud of her","A person is proud of their skin's improvement, even if subtle.
"
"Besides cute handsome
 what other words could I use
to describe a man","Seeking alternative descriptors beyond physical attractiveness for a man.
"
"A customer asked
 me if my name was cookie
because I looked sweet","A customer's comment on the speaker's perceived sweetness.
"
"Is taking yourself
 on a vacation normal
asking for a friend","Wondering if solo vacations are normal.
"
"banned my boys account
 because he was getting too
much my career points","Account banned for earning too many points.
"
"Appreciate you
 supporting me all these years
Hope you do big things","Gratitude for past support and hope for future success.
"
"DEXTRA It's too cold
 for real butterflies Can I
see the ones you use","A speaker asks to see artificial butterflies because it's too cold for real ones.
"
"Crawfish is so good
 until you have to take your
contacts out that night","Crawfish is delicious, but messy enough to affect contact lens wear.
"
"GUESS WHO ALMOST GOT
 HIT BY A CAR INSIDE SCHOOL
WHILE RUNNING TOWARDS","A near-miss car accident involving someone running inside a school.
"
"My favorite pair
 of jeans look like mom jeans on
me now and i'm sad","Jeans no longer fit, causing sadness.
"
"Being friends with your
 ex isn't awkward unless
you make it awkward","Exes can be friends if they avoid awkwardness.
"
"Titans making a
 strong argument for staying
true to the comics","Titans series should stay true to the comics.
"
"this song is making
 me cry and I don't think it's
supposed to be sad","A song evokes unexpected sadness.
"
"Learning is such a
 fucking CHORE I support your
defiance of it","Learning is a chore, and the speaker supports rebelling against it.
"
"Falling in love with
 your self never gets old There's
always more to love","Self-love is a continuous, rewarding journey of discovery.
"
"Kevin and Karen
 are breaking my heart Why won't
they dance TOGETHER","A plea for Kevin and Karen to dance together, expressing heartbreak that they don't.
"
"Woke up feeling like
 shit I don't know how I got
drunk but I hate it","Waking up hungover and regretting the night before.
"
"The necromancer
 destroyed the realm of a rogue
at his disturbed mind","A necromancer's disturbed mind leads to the destruction of a rogue's realm.
"
"This kids just drooling
 on me n i love em so
much i let em Lol","A child is drooling on someone who loves the child and allows it to happen.
"
"I dreamt something and
 i don't know if I liked it
or if I didn't","A dream leaves the speaker unsure of their feelings.
"
"Playing on through the
 grief can sport help to come to
terms with death and loss","Sports can be a helpful coping mechanism for grief and loss.
"
"Success doesn't just
 come and find you you have to
go out and get it","Success requires effort and initiative.
"
"If it's still raining
 when I get home I'm working
out at the damn house","Rain may force an indoor workout.
"
"Capital Bank is
 mismanaged by workers and
not my dear father","Bank's problems are due to mismanagement, not the author's father.
"
"Going to work is
 going to be so hard now
please keep us all sane","Dreading the difficulty of going to work and hoping for sanity.
"
"Being in my warm
 car and it's raining makes me
want to go to sleep","Rainy day car ride induces drowsiness.
"
"Stop stalking you What
 do you mean I'm not stalking
you I just love you","Unrequited love and denial of stalking.
"
"Kilts were invented
 by the Irish The word kilt
is in fact Danish","Kilts have unexpected origins.
"
"We cannot cure the
 world of sorrows but we can
choose to live in joy","Choose joy despite the world's sorrows.
"
"Basketball season
 approaching is the best thing
in my life right now","Anticipation and excitement for the upcoming basketball season.
"
"welcome to Indy
 I see great things happening
for you and the team","A welcoming message to someone joining a team in Indianapolis, expressing optimism for their future success.
"
"I'm going outside
 for some fresh air And a smoke
Make up your mind please","A person goes outside to smoke while needing to make a decision.
"
"I got a question
 Why is there no Black Friday
sale for gasoline","A humorous observation about the lack of Black Friday deals on gasoline.
"
"I love having Black
 teachers teaching me and Black
students in my class","Appreciation for Black teachers and students.
"
"need confirmation
 on this if so davis goes
from legend to god","Confirmation elevates Davis to legendary status.
"
"My mother getting
 me in the spirit she brought
me some pajamas","A mother's love expressed through pajamas.
"
"MY HUSBAND I feel
 like breakfast ME I feel like
lunch both order eggs","A couple orders eggs for breakfast and lunch, highlighting their different appetites.
"
"Tonight made me lose
 my appetite and made me
a super sad bitch","A sad and appetite-killing night.
"
"The nuggets missed a
 million free throws and still beat
the Warriors lol","The Nuggets won despite poor free throw shooting against the Warriors.
"
"most of designer
 heels hurt im not spending racks
for that type of pain","Expensive designer heels are not worth the pain they cause.
"
"Getting to work while
 it's dark and leaving while it's
dark is depressing","Working long hours through the daylight is depressing.
"
"Remember his life
 size painting in his house on
being Liverpool","A memory of a large painting related to Liverpool in someone's home.
"
"Remember that you
 are always making up the
future as you go","The present shapes the future.
"
"trying not to cry
 in public it's one of the
hardest thing to do","Hiding sadness in public is difficult.
"
"Females stay breaking
 y'all nails from lying typing
on twitter all day","A commentary on women spending too much time on Twitter, possibly lying.
"
"Never seen a team
 like Madrid big game players
when the time needs it","Real Madrid excels in important matches.
"
"Getting out of bed
 when your comfy for a piss
is super crucial","The struggle of leaving a comfortable bed to urinate.
"
"Finished all my work
 for the one class i hate the
most it feels so good","Relief after finishing hated classwork.
"
"Some girls find pleasure
 in treating guys bad and it's
fucking disgusting","Disgust at girls mistreating guys.
"
"Good morning I feel
 like shit right now As in I
may have caught a cold","Feeling unwell, possibly catching a cold.
"
"i sneeze hate cutting
 sneeze the sneeze gRass blows nose for
the five thousandth time","A person repeatedly sneezes due to grass allergies.
"
"my uh stomach hurts
 my throat hurts my chest hurts i
just want to go home","Feeling sick and wanting to go home.
"
"The confusion and
 the pain of it all Turned me
into an author","Painful experiences inspired the author's writing.
"
"families and small
 scale social groups to at least
the same extent as","Focuses on families and small social groups.
"
"This scumbag should be
 arrested for supporting
a terrorist group","Calls for the arrest of someone accused of supporting terrorism.
"
"why am I missing
 my short hair when I'm trying
to grow out my hair","Regret over a past haircut while trying to grow hair long.
"
"My father loved to
 Metal detect too I can
see the fun in it","A child understands their father's enjoyment of metal detecting.
"
"It is better to
 have tried and failed than to have
never tried at all","Trying and failing is better than not trying.
"
"Half confident with
 that team but fuck me look at
the state of the bench","The speaker is unimpressed with the team's bench despite some confidence in the starting lineup.
"
"Game postponed until
 tomorrow Weather and lack
of lights on the pitch","A sports game is delayed due to bad weather and insufficient lighting.
"
"Inspiration comes
 from within do yourself a
favour and explore","Look inward for inspiration and explore your potential.
"
"I'm going to make
 a petition to get two
starbucks in wells hall","Demanding more Starbucks in a specific location.
"
"Unless we go to
 LA for my birthday and see
Russ on my birthday","A birthday wish for a trip to LA to see Russ.
"
"How did my twitter
 get changed to night mode and how
do I change it back","A user is asking how to revert their Twitter display from night mode.
"
"Not seeing Dion
 and Charles running could be wrong
Cowboys reference","A reference to the Dallas Cowboys football team.
"
"Blackboard would be not
 working on the day I need
to take my final","A broken blackboard foils a final exam.
"
"The average dog
 is as intelligent as
a two year old child","Dogs are as smart as toddlers.
"
"allowing us to
 mute words was one of the best
things twitter has done","Twitter's mute feature is a positive addition.
"
"Do me a favor
 and hug your kids tonight and
tell them you love them","Hug your children and tell them you love them.
"
"absolution has
 a special place in my heart
that book is brilliance","A heartfelt appreciation for a book about absolution.
"
"I ate cornbread for
 dinner nothing else Just a
mountain of cornbread","A person ate a large amount of cornbread for dinner.
"
"Good morning Dreamer
 hope you have a wonderful
day and lots of fun","Wishing the reader a good and fun day.
"
"all my boyfriends are
 so beautiful god I hope
they had a good day","Admiration and well-wishing for beautiful boyfriends.
"
"Just played version of
 tomorrow eyes of love end
of the game wharf cat","A video game ending with a cat.
"
"one conclusion left
 of this religion essay
n then i'm done D","Almost finished with a religion essay.
"
"i was trying to
 work and my head hurt too much
so i took a nap","Headache interrupts work, leading to a nap.
"
"please invite me n
 my brother to eat at Hell's
Kitchen I beg you","A plea for a dinner invitation to Hell's Kitchen for the speaker and their brother.
"
"Flatbush and A Day
 to Remember had to be
the best sets last night","A concert featuring Flatbush and A Day to Remember was great.
"
"Im watching Friends and
 it makes me miss living right
next to my best friends","Missing the closeness of living near best friends while watching the show ""Friends"".
"
"cut myself twice while
 shaving this is why i wax
im so fucking sick","Shaving mishaps lead to waxing and frustration.
"
"You never want things
 to end but sometimes that's the
way it has to be","Accepting inevitable endings.
"
"Baseball is offense
 and DEFENSE It takes both to
win CHAMPIONSHIPS","Baseball success requires both strong offense and defense to win championships.
"
"His common sense was
 in a try your luck mode when
he purchased the form","A person bought a form based on a whim or gamble.
"
"Surprised they don't have
 a mural then with Jesus
on a dinosaur","A humorous observation on the lack of religious art depicting Jesus with dinosaurs.
"
"I ate an expired
 cantaloupe before work so
let's see how this goes","Someone ate expired cantaloupe and anticipates the consequences.
"
"Jamaican women
 with twitter accounts have the
most limits on sex","Jamaican women on Twitter face restrictions regarding sex.
"
"This Super Bowl would
 be so much better if the
Vikings were playing","Longing for the Vikings in the Super Bowl.
"
"It's time to finish
 this debate once and for all
which one is better","Ending an argument to decide which is superior.
"
"waiting for you to
 book a flight and a ticket
within the next week","Anticipation of someone booking a trip soon.
"
"When my sister had
 to go lay down because she
had to much to eat","Sister overeats and needs to lie down.
"
"Sometimes you just need
 to endure the pain to feel
the fullness of love","Love requires enduring pain.
"
"If schools shouldn't feel
 like prisons then I should need
permission to pee","Schools restrict students' freedom, like prisons.
"
"I keep having this
 fear that rebirth is somehow
going to go wrong","Fear of a flawed reincarnation.
"
"Running can be a
 pain in the ass but it sure
gives you a nice one","Running is painful but rewarding.
"
"I've never had to
 try to not cry at work this
much I hate the world","Overwhelmed and hating the world at work.
"
"Used my pennies for
 your thoughts but now I invest
in myself instead","Investing in oneself after giving someone else too much thought.
"
"Taking my time with
 this car shopping because I
don't want a lemon","Careful car shopping to avoid a bad purchase.
"
"You can always tell
 when a girl is trying to
get back with her ex","Subtle signs reveal a girl's attempt to reconcile with her ex.
"
"Drinking may not add
 years to your life but it does
add life to your years","Drinking enhances life's enjoyment, even if it shortens it.
"
"Here's the real question
 is direct deposit still
hitting this weekend","Worries about whether direct deposit will arrive on the weekend.
"
"I'd like this Celtics
 team way more if they weren't
the Boston Celtics","A conflicted feeling about liking the Celtics basketball team, were it not for their association with Boston.
"
"You a rookie I'm
 a vet That's why I got this
glock you got a tec","An experienced person with a Glock contrasts themselves with an inexperienced person who has a Tec.
"
"got nothing better
 to do so i'm taking my
ass to bed goodnight","Tired and going to bed.
"
"Twitter can you get
 us a new President soon
Asking for a friend","Expressing a desire for a new president, possibly through Twitter.
"
"I think I'm having
 sleep for dinner b c I
don't feel like cooking","Too tired to cook, choosing sleep instead of dinner.
"
"Call it being old
 fashioned but she still loves it
when you hold her hand","An old-fashioned woman appreciates a simple, affectionate gesture.
"
"Can drinking too much
 water give you a headache
Asking for a friend","Inquiring if overhydration causes headaches.
"
"Cheers to libraries
 Your books have saved my life more
times than you can know","Gratitude for the life-saving impact of books found in libraries.
"
"Oh wow cant believe
 i survive a year with this
royal annoyance","Surviving a year with a frustrating royal.
"
"Be careful out there
 guys I spent last night getting
towed out of a ditch","A warning based on personal experience of getting a car towed from a ditch.
"
"Don't forget to cast
 your vote on what I should drink
for the Black Out stream","A request for voting on a drink choice for a ""Black Out"" stream.
"
"I hate losing friends
 just because they got into
a relationship","Jealousy and sadness over losing a friend to a relationship.
"
"Waking up to the
 sound of rain hitting the ground
outside is perfect","The simple pleasure of waking to the sound of rain.
"
"I destroyed that fried
 rice and now I'm not sure what
to do with myself","Regret after overeating fried rice.
"
"God forgive me for
 complaining often I know
I should be thankful","Acknowledging the speaker's frequent complaining despite knowing they should be grateful and asking for forgiveness.
"
"can I get added
 to the guest list tomorrow
Asking for a friend","Hoping a friend can get on the guest list last minute.
"
"Why do McDonalds
 workers hate giving sauce does
it affect ur pay","McDonald's workers' potential reluctance to give out sauce and whether it's related to their pay.
"
"I miss watching the
 trailer park boys that show brought
me a lot of joy","Missing a TV show that brought joy.
"
"I tell myself I'm
 for sure going to class and
that's like a big lie","Procrastination and self-deception regarding attending class.
"
"The better I get
 to know men the more I find
myself loving dogs","Finding solace and preference in dogs over people with increased familiarity.
"
"He was asserting
 the imminent toupee if
you know what I mean","A veiled threat about someone's toupee.
"
"Is this your defense
 for how you vote on the bills
You never read them","Accusation of a politician voting on bills without reading them.
"
"I'm going to make
 that pic of You Know Who's You
Know What my banner","A person intends to use a controversial image as their online banner.
"
"I hope they perform
 with the big fans liked they planned
for their encore stage","A band is anticipated to use fans during their encore performance.
"
"Your professional
 life should always come before
your personal life","Work before personal life.
"
"what's embarrassing
 is spitting your gum into
the trash and MISSING","The shame of failing to throw gum in the trash.
"
"Being in love is
 good all but don't let that shit
get the best of you","Love is good, but don't let it control you.
"
"i send my profile
 link instead of my trading
link how to change it","Accidental profile link sent instead of the intended trading link, and a request for instructions on how to correct the mistake.
"
"We make a living
 by what we get We make a
life by what we give","Earning a living differs from truly living, which comes from giving.
"
"Is that a picture
 of the stadium during
a home game this year","A photo of a stadium during a home game.
"
"They say before you
 start a war You better know
what you're fightin' for","Know your reasons before starting a war.
"
"The best gifts received
 are those you don't unwrap peace
happiness hope love","True gifts are the intangible blessings of peace, happiness, hope, and love.
"
"Tyner better come
 come through like they always do
tomorrow for prom","Hoping Tyner will make it to prom.
"
"Is something up with
 the podcast feed Yesterday's
show never came out","A podcast episode is missing from the feed.
"
"NINE PERCENT ARE SO
 HANDSOME THEY HAVE THAT GAZE THAT
MAKES YOU FALL IN LOVE","A captivating gaze inspires love.
"
"They always say that
 the most frightening bears are
those that have children","Mother bears are the most dangerous.
"
"ask not what language
 can do for you but what yOU
CAN DO FOR LANGUAGE","Focus on contributing to language, not just benefiting from it.
"
"there are way bigger
 vegan vegan issues than
this please get a grip","There are more important vegan issues to focus on.
"
"It started with a
 perfect kiss then we could feel
the poison set in","A kiss turns toxic.
"
"Dangerous Freestyle
 Finish I'm sick as fuck but
you can tell Don't care","A defiant freestyle performance despite feeling unwell.
"
"i'm trying to grow
 my eyebrows out and wow it
takes dedication","Growing out eyebrows requires patience and dedication.
"
"Like my father won't
 buy books for me because I
finish them too fast","A child laments their father's refusal to buy them books due to their rapid reading pace.
"
"p lyons yes I
 just see an envelope with
Lyons just arrived","A letter from Lyons has arrived.
"
"Hi i'm looking to
 find what i can bring as proof
when I've moved address","Proof of address change.
"
"Women fall in love
 with what they hear men fall in
love with what they see","Love's different paths for men and women: sound versus sight.
"
"I remember when
 Twitter was at its prime at
night now it's just wack","Nostalgia for Twitter's better days.
"
"Record time with help
 of stopwatch You don't measure
time you record it","The haiku contrasts measuring time with simply recording it using a stopwatch.
"
"Looks like a Sammie
 pup a cousin of one of
my favorite breeds","A dog, possibly a Samoyed or related breed, is being observed.
"
"I remember that
 means I end up like you and
then I regret it","Regret of becoming someone you dislike.
"
"You will never find
 peace in your life until you
find that peace within","Inner peace is the key to finding peace in life.
"
"I forget how to
 make a good conversation
It's been a long time","Forgetting conversational skills after a long period of isolation.
"
"There's always that one
 kid who adds words into a
sentence while reading","A child embellishes a story while reading aloud.
"
"Is brioche laced with
 cocaine or something You can
never have just one","Brioche is so addictive, it's like it's laced with something.
"
"I never thought I'd
 be driving a Ford lol but
I sure do love it","Unexpectedly loving a Ford.
"
"Lucid dreaming is
 literal happiness for
me I don't know why","Lucid dreaming brings inexplicable joy.
"
"you know who stephen
 hawking is right oh that white
dude with the beard right","Stephen Hawking.
"
"No relationship
 on earth can flourish if no
effort is put in","Relationships require effort to thrive.
"
"When you thirst follow
 a cute ass person and they
don't follow you back","Unrequited attraction while thirsty.
"
"Getting bad scores on
 exams hurts I wish I could
be better next time","Disappointment and aspiration after failing exams.
"
"forgot how good a
 proper nap in bed with the
blinds closed no noise is","The simple pleasure of a peaceful nap in a quiet, dark room.
"
"dis one teacher b
 getting me so mad always
crying like a bitch","A student's anger and frustration with a teacher.
"
"I just noticed all
 the leaves are still on their trees
Y'all fall never came","Fall never arrived, and the leaves remain on the trees.
"
"you don't follow me
 but here you are checking for
my twitter dumbass","Someone is checking the author's Twitter despite not following them.
"
"The Tories Did they
 have a representative
on the Parole Board","Questions the impartiality of the Parole Board due to possible Tory influence.
"
"I wonder what they
 do for casual Fridays
at nudist resorts","Humorous pondering on appropriate attire for casual Fridays in a nudist setting.
"
"So there is something
 worse than tourists on the tube
Outs called football fans","Football fans are worse than tourists on the subway.
"
"I can feel myself
 getting sick that's tragic I
have so much to DO","Feeling sick and lamenting lost productivity.
"
"Liberal thinking
 paper cuts make me bleed tax
cuts must be much worse","Critique of tax cuts, suggesting they harm more than paper cuts.
"
"not adopted a
 stray one off the street and i
do not like this tweet","Regret about not adopting a stray and dislike of a tweet.
"
"The Fall Guy starring
 Lee Majors With a theme song
sung by Lee Majors","A TV show, ""The Fall Guy,"" starring and sung by Lee Majors.
"
"good afternoon we
 have CLOSED for lighting we will
let you know thank you","A store is closed for lighting issues and will notify customers when it reopens.
"
"What's a better time
 for you guys to tune into
my stream Central Time","A streamer is announcing their stream time in Central Time.
"
"Because you don't love
 Khalid because you're missing
out on some good shit","Someone is missing out by not listening to Khalid.
"
"And I regretted
 that I didn't say I love
them before they died","Regret over unspoken love before someone's death.
"
"thank you Creator
 for the days you blessed me and
my daughter with life","Gratitude for life shared with a daughter.
"
"What are we going
 to do when Stan Lee dies What
will the world come to","The haiku contemplates the impact of Stan Lee's death on the world.
"
"Japan gets the best
 games and we in the West are
left with the scrap heap","Western gamers feel slighted by Japan getting better games.
"
"The restaurant is
 going to be called I'll spit
in your food for you","A restaurant with a threatening name.
"
"The elevation
 is so high here the clouds are
right on top of me","Being high up makes one feel among the clouds.
"
"i love having car
 issues especially when it's
pouring rain outside","Disgruntled speaker hates car trouble in the rain.
"
"Success is something
 you attract by the person
you become Jim Rohn","Success is earned through personal growth.
"
"Outside of Pep he's
 a natural born asshole
so that's different","Someone's behavior changes depending on Pep's presence.
"
"for a person that
 hates talking in class I sure
get called on a lot","Irony of being called on despite disliking class participation.
"
"I hate these pictures
 I can still feel the pain by
just looking at them","Painful memories evoked by old photographs.
"
"Why do new albums
 come out the day i forget
my fucking headphones","Irony of forgetting headphones on new album release day.
"
"My father slow cooked
 some ribs tonight and let me
tell you they were bomb","Father made delicious ribs.
"
"now my brother knows
 how it feels when i call him
he doesn't answer","The speaker understands how their brother feels when ignored.
"
"Me my man getting
 a loft downtown I cannot
wait to decorate","Excitement about decorating a new downtown loft.
"
"Remember guys the
 album is finished He just
ain't put that bitch out","The album is done, but unreleased.
"
"I miss my Cancer
 Lots of building to do with
her when I come back","Missing someone (a Cancer zodiac sign) and anticipating future activities together.
"
"Most of that funding
 is local not federal
Would hope you knew that","Funding primarily comes from local sources, not federal.
"
"I pray god removes
 all the hurt out of my heart
anger from my soul","A prayer for inner peace and the removal of pain and anger.
"
"Im cutting my hair
 and when my hair grow back I'm
combing my dreads out","A cycle of hair transformation, from cutting to growing and changing styles.
"
"i got a feeling
 i'm going to be in a
relationship soon","Anticipation of a new relationship.
"
"I think I'm going
 to go shopping tomorrow
I need some new shit","Shopping for new things.
"
"Getting actual
 sausage and mash for my tea
the night lads Buzzing","Enjoying a sausage and mash dinner, creating a buzzing, positive atmosphere.
"
"The daughter and Dr
 Smith are starting to annoy
me on Lost in Space","The author is annoyed by characters on Lost in Space.
"
"Worse when your sibling
 hates you for it and tells you
they plead for your death","Sibling hatred and a death wish.
"
"Trump and Bannon are
 playing the long game Its a
distraction Enjoy","Trump and Bannon's actions are a calculated distraction.
"
"Marshall no better
 twitter feuds than classical
music twitter feuds","Twitter battles in classical music are the best.
"
"I've said this before
 but speaking japanese is
so fun I love it","Expressing joy and enthusiasm for speaking Japanese.
"
"East side of Harlem
 has a lot of restaurants
I want to check out","Exploring restaurants in East Harlem.
"
"my teacher just said
 me smiling all week has been
a breath of fresh air","A teacher appreciates the positive impact of a student's smile.
"
"It doesn't matter
 how much they hate you God Still
going to bless you","God's blessings persist despite hatred.
"
"when that yodeling
 kid said I lost my heart it
seems man I felt that","A child's heartfelt yodel resonates deeply.
"
"my favourite kinds
 of weddings are the ones i
don't have to go to","The author prefers weddings they don't have to attend.
"
"If you're going be
 an aggressive teammate at
least learn how to aim","A frustrated gamer criticizes an aggressive teammate's poor aim.
"
"i told myself that
 i wouldn't be scared but i'm
still havin' nightmares","Despite trying to be brave, the speaker is still haunted by nightmares.
"
"Person What you got
 snacks Me wait i didn't know
i was in this bag","A person finds an unexpected snack in a bag.
"
"Now if you'll excuse
 me I've been trying all day
just to get some lunch","The speaker is finally going to get lunch after a long day.
"
"Wow me not having
 a crush for once in my life
is a weird feeling","The speaker is experiencing the unusual feeling of not having a crush.
"
"Shaun Are peanuts called
 peanuts cause they look like pea
pods and are a nut","Asks the origin of the name ""peanut"" by comparing its appearance to pea pods and noting it's a nut.
"
"I knew something was
 up when I didn't see him
in the parking lot","A person notices someone's absence in the parking lot, suggesting something is amiss.
"
"Working with perfumes
 and cosmetics has given
me so much knowledge","Gaining wisdom through perfume and cosmetics work.
"
"Unexpected plans
 are the best especially if
y'all share the same vibe","Spontaneous plans are best when shared with like-minded people.
"
"Doing what you like
 is freedom liking what you
do is happiness","Finding joy in your work brings happiness.
"
"Just fantastically
 brilliant As a teen I played
for Dulwich Hamlet","A former Dulwich Hamlet player reflects on their brilliant past.
"
"Just one kiss sometimes
 that's all it takes for a heart
to lose its balance","A single kiss can make someone fall in love.
"
"I wish I didn't
 have to go to my meeting
but business comes first","Reluctant attendance at a business meeting is necessary.
"
"Some random kid at
 Walmart told me did you know
that bugs hide in caves","A child's random, surprising knowledge about bugs hiding in caves.
"
"When they calling for
 snow your employer says you
can still work from home","Working from home during a snow day.
"
"I know I shouldn't
 ungrateful but being sad
this often a lot","Acknowledge feeling ungrateful but expressing frequent sadness.
"
"Never compromise
 a dream always compromise
how it will come true","Dreams are important, but be flexible in how you achieve them.
"
"Success is getting
 what you want happiness is
wanting what you get","Success is achieving desires, but true happiness lies in appreciating what you already have.
"
"oh Who's this gorgeous
 woman Did I hear you need
some cash she asked her","A beautiful woman offers financial assistance.
"
"Cry doesn't mean you
 are weak Go cry if you want
Don't hold back your tears","It's okay to cry; don't suppress your emotions.
"
"Love shouldn't make you
 forget your dreams love should help
you to reach your dream","Love should support, not hinder, your dreams.
"
"Just finished my first
 panel So far so good Still
don't have my badge yet","Attending a convention, finished a panel, but badge is still missing.
"
"Not looking forward
 to having to play parent
for the next three weeks","Dreading temporary parenting duties.
"
"Life's a painting Your
 attitude and actions you
project is your art","Life is art, shaped by your attitude and actions.
"
"RIP broke my headphone
 jack on my controller no
streams for a while now","Broken headphone jack prevents streaming.
"
"Looking forward to
 being sworn in as a new
Trustee this evening","Anticipation of becoming a new trustee.
"
"Appreciating
 all the Astros giving trump
the death stare MAH BOYS","A humorous appreciation of the Houston Astros players giving Donald Trump a death stare.
"
"Feeling so drawn to
 well written literature
to nourish the soul","Literature feeds the spirit.
"
"learning how to wrap
 you hair is so hard but once
you get you got it","Learning to wrap hair is difficult initially, but becomes easy with practice.
"
"Wait Urban Meyer
 was suspended Huh who would
have known what a joke","Urban Meyer's suspension is seen as a joke.
"
"No matter what the
 records are Division games
will always be tough","Division rivalry games are always hard-fought, regardless of team records.
"
"Policemen on this
 road are now tax collectors
they just stretch their hands","Corrupt police exploiting drivers for money.
"
"Any time guys Can't
 wait to try the delicious
beers you have brewing","Excitement to try someone's home-brewed beer.
"
"This weekend could prove
 to be the start of better
things Here's to hoping","Hoping for a positive change to begin this weekend.
"
"Matt Harvey Why are
 you doing this to me What
did I do to you","Frustration and betrayal directed towards Matt Harvey.
"
"This sort of explains
 why Twitter exists but not
how we're using it","Twitter's existence is understood, but its usage remains a mystery.
"
"Trust me to forget
 my charger the day my phones
running out at work","Forgetting a phone charger leads to a dead phone at work.
"
"Not to mention he
 must have some carbon footprint
for a tree hugger","An ironic observation about a tree hugger's potential carbon footprint.
"
"tRuMp oNcE SaId pLeAdInG
 ThE FiFtH WaS FoR tHe mOb AnD
NoW He mIgHt dO It","Trump, who once criticized pleading the Fifth Amendment, might now invoke it himself.
"
"Falling in love with
 you is a feeling that I
could never explain","The indescribable feeling of falling in love.
"
"Insightful words from
 a parent fear is for those
with experience","Fear is lessened by experience, a parent's insight.
"
"Doing what u like
 is freedom liking what you
do is happiness","Finding happiness in freedom and freedom in happiness.
"
"Rick Santorum The
 blacks and spanish Jake Tapper
disappointed face","Rick Santorum's perceived disapproval from Jake Tapper regarding comments about Black and Hispanic people.
"
"If this third update
 in a week doesn't fix my
lag I might be mad","Frustration with persistent lag despite updates.
"
"Be as creative
 as you can for a better
chance to win Good luck","A hopeful nudge for creativity and success.
"
"Look I'm not trying
 to be rude but the bike shorts
trend has got to go","Bike shorts trend is disliked.
"
"i'm just starting to
 believe that this could be the
start of something good","Hopeful beginnings.
"
"Never wait others
 save whites from declining birth
rate you president","A call to action: White people should become president to combat declining birth rates.
"
"Can we pretend that
 the air planes in the night sky
are like shooting stars","Dreaming of airplanes as shooting stars.
"
"Just seen a doctor
 he shares the same birthday as
me have him struck off","Humorous take on a doctor-patient birthday coincidence, ending with a ridiculous demand.
"
"Just because they blood
 don't mean they ain't shit because
shit stains just like blood","Family ties don't negate inherent worthlessness; both blood and shit leave similar stains.
"
"The last digit of
 pi is Chuck Norris He is
the end of all things","Chuck Norris is the last digit of pi and the end of everything.
"
"I say you're perfect
 you start blushing Got all we
need and so much more","A compliment leads to blushing, highlighting contentment and abundance in the relationship.
"
"Each time my parents
 have found out I smoke weed they
offer rehab like","Parents react to their child's weed smoking by suggesting rehab.
"
"Upload more Golf It
 and I will send you a thank
you cookie eh Eh","A plea for more ""Golf It"" content in exchange for a thank you cookie.
"
"Me staring at my
 dogs' face after I wake them
up in the morning","Waking dogs, sleepy gaze.
"
"I love cousins that
 interact with me not no
bump on a log types","Appreciation for engaging cousins.
"
"Happiness is the
 best thing in life when you have
nothing to feel it","Happiness is most valued when one lacks other feelings.
"
"I will NEVER get
 use to the feeling of hair
sliding down my leg","An unpleasant sensation of hair sliding down one's leg.
"
"Unless you just died
 I don't think you're having a
worse morning than me","Someone is having a particularly bad morning and believes others are likely having a better one.
"
